YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	335	1.665	1.82	149.12	-5.11	274.43	73.30
1998	336	1.665	1.82	149.55	-5.13	260.68	73.74
1998	337	1.665	1.82	149.99	-5.15	246.93	74.18
1998	338	1.665	1.82	150.43	-5.16	233.18	74.62
1998	339	1.665	1.81	150.86	-5.18	219.43	75.06
1998	340	1.665	1.81	151.30	-5.20	205.68	75.49
1998	341	1.666	1.81	151.74	-5.21	191.93	75.93
1998	342	1.666	1.81	152.17	-5.23	178.18	76.37
1998	343	1.666	1.80	152.61	-5.25	164.43	76.81
1998	344	1.666	1.80	153.05	-5.26	150.68	77.25
1998	345	1.666	1.80	153.48	-5.28	136.93	77.68
1998	346	1.666	1.79	153.92	-5.29	123.18	78.12
1998	347	1.666	1.79	154.36	-5.31	109.43	78.56
1998	348	1.666	1.79	154.79	-5.32	95.69	79.00
1998	349	1.666	1.78	155.23	-5.33	81.94	79.44
1998	350	1.666	1.78	155.67	-5.35	68.19	79.87
1998	351	1.666	1.77	156.10	-5.36	54.44	80.31
1998	352	1.666	1.77	156.54	-5.38	40.75	80.75
1998	353	1.666	1.77	156.98	-5.39	27.00	81.19
1998	354	1.666	1.76	157.41	-5.40	13.25	81.63
1998	355	1.666	1.76	157.85	-5.41	359.50	82.06
1998	356	1.666	1.75	158.29	-5.42	345.75	82.50
1998	357	1.666	1.75	158.72	-5.44	332.00	82.94
1998	358	1.666	1.74	159.16	-5.45	318.25	83.38
1998	359	1.666	1.74	159.60	-5.46	304.50	83.82
1998	360	1.666	1.73	160.03	-5.47	290.76	84.26
1998	361	1.666	1.73	160.47	-5.48	277.01	84.69
1998	362	1.665	1.72	160.91	-5.49	263.26	85.13
1998	363	1.665	1.72	161.34	-5.50	249.51	85.57
1998	364	1.665	1.71	161.78	-5.51	235.76	86.01
1998	365	1.665	1.71	162.22	-5.52	222.01	86.45
